PDB ID,Ln.K_f.
1ARR,9.2
1BA5,5.9
1CUN ,4.8
1E41,6.9
1FEX,8.2
1IDY,8.7
1L8W ,2.0
1LMB ,10.4
1PRB ,13.8
1RYK,9.1
1SS1 ,11.5
1ST7,8.5
1U4Q ,11.0
1VII ,12.3
1W4E,10.2
1W4J,12.3
1YYJ,8.4
2A3D,12.2
2LLH ,7.0
2WXC,11.7
2WQG,8.5
1KDX ,7.8
1IO2,-0.25
2MYO,4.8
2QJL,2.6
1D6O,1.6
1DIV ,6.55
1DKT ,4.5
1E0G,7.0
1FHT ,4.6
1J5U,6.9
1N88,2.0
1O6X,6.8
1RFA ,7.7
1RIS ,6.1
1SPR ,8.7
2BKF ,6.2
2J5A ,7.3
2PTL ,4.1
2VH7 ,0.84
3CI2,5.8
1EHB ,3.0
2GA5,5.4
1NFI ,1.8
1K0S,7.4
1PRS ,3.0
1E0L,10.1
1E0M,8.9
1HCD,1.3
1JO8,2.5
1K85,1.4
1K8M ,-0.94
1TP3 ,3.0
1K9Q,8.4
1M9S ,4.0
1PIN ,9.4
1PNJ ,-0.69
1QTU ,-0.36
1RG8,1.3
1AVZ ,4.9
1SHG ,1.1
1SRL ,4.4
1TEN ,1.8
2VKN ,2.1
1FNF ,-0.9
1GM1 ,1.0
2JMC,3.3
1FGA ,-1.4
3ZRT ,1.3
1QAU ,1.8
3O4B ,4.3
3O49,1.7
3O4D,4.9
2L6R,10.3
2X7Z ,0.74
